Description,Co-ordinates
Drinking Fountain - Treated Timber Drinking Fountain - Gardiner Reserve,"(-37.79899461666564, 144.94338606489316)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.81522141134258, 144.96172628554172)"
Drinking fountain - Historic or Heritage Drinking Fountains - Birrarung Marr,"(-37.81890778973109, 144.97301938244627)"
Drinking Fountain - Drinking Fountain - Type 2 - Enterprize Park,"(-37.8199982974538, 144.95979744383823)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81027785022815, 144.9610923413044)"
Drinking Fountain - Treated Timber Drinking Fountain - Flagstaff Gardens,"(-37.81043106640399, 144.95558395492208)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.824688315009205, 144.94695310036423)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.82039536598253, 144.94148537021343)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.81956008903184, 144.96060041327848)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.817347815583766, 144.9877967436974)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.799615873678334, 144.96425054146184)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.78972452756684, 144.95542692736785)"
Drinking Fountain - Drinking Fountain - Monument Style Type 5,"(-37.78528312570061, 144.96618877508342)"
Drinking Fountain - Treated Timber Drinking Fountain - Queen Victoria Gardens,"(-37.82249308106257, 144.97114401537564)"
Drinking Fountain - Treated Timber Drinking Fountain - Kings Domain South,"(-37.8334339089649, 144.98151523466336)"
Drinking Fountain - Treated Timber Drinking Fountain - Princes Park,"(-37.78468825615886, 144.9603937391861)"
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.82122088208344, 144.94418531958326)"
Drinking fountain - unspecified type - Fawkner Park,"(-37.84105383065132, 144.98474159117376)"
Drinking Fountain - Drinking Fountain - Lygon St Type,"(-37.79775185327968, 144.96744736482998)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Alexandra Gardens,"(-37.82087796877212, 144.97293196853022)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81812625933699, 144.9458429589375)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.80037327256486, 144.97278944216202)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Reeves Street Park,"(-37.79376491305337, 144.97024082502696)"
Drinking fountain - Historic or Heritage Drinking Fountains - Queen Victoria Gardens,"(-37.82123671455052, 144.97077057669242)"
Drinking fountain - unspecified type - Princes Park,"(-37.7836624497961, 144.95999863520058)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Kings Domain South,"(-37.83352412979702, 144.98347223277543)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.80750643106099, 144.9685049927858)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81884561014748, 144.94837757274016)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.83463602099828, 144.97488441712127)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81276680167682, 144.9815543655956)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81319698844885, 144.97374469190206)"
Drinking Fountain - Treated Timber Drinking Fountain - Miles & Dodds Street Reserve,"(-37.828673986591355, 144.9672264971803)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81232314728076, 144.98893301349375)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.786067144628724, 144.96306993513306)"
Drinking Fountain - Treated Timber Drinking Fountain - Shrine Gardens,"(-37.83210001827241, 144.975544260503)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.806116903955164, 144.9571333967204)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81437973339851, 144.97601583515225)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Argyle Square,"(-37.80225790808832, 144.96613628041044)"
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"(-37.81933413777128, 144.96443696866604)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.781971287851476, 144.95606844481355)"
Drinking Fountain - Treated Timber Drinking Fountain - Fawkner Park,"(-37.84249232047023, 144.9843961780638)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8060370483463, 144.95639004511094)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81152641068227, 144.9728037168352)"
Drinking Fountain - Unknown,"(-37.822177747738806, 144.93826895163244)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.8163642527943, 144.95539891425878)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens North,"(-37.80154324073521, 144.97074694104214)"
Drinking Fountain - Treated Timber Drinking Fountain - Bayswater Road Park,"(-37.79365820618429, 144.92352614663906)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Parliament Reserve,"(-37.80980631970157, 144.97383443627947)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82024273028081, 144.95962780503942)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82473470869719, 144.9720880805363)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81328717472797, 144.9892411598799)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82182651982964, 144.95732399055066)"
Drinking Fountain - Drinking Fountain - Monument Style Type 2 - Hardy Reserve,"(-37.78528327065247, 144.96619195051946)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.81783494671288, 144.95934035815498)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Alexandra Gardens,"(-37.82072500491043, 144.97068041637496)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.813586967977756, 144.9803405398592)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81262231879966, 144.95695726799045)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Neill Street Reserve,"(-37.795594738274296, 144.9691367333386)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.79148137934659, 144.95640337310826)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.78073096453612, 144.95108741208116)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.807299202453336, 144.9638063589646)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81600551227767, 144.9651330881475)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.807863918393416, 144.96107434937468)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.79431438564634, 144.9302959180467)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.813892178607055, 144.9641120868484)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8188136383738, 144.942903892035)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.811441273333834, 144.95511626726946)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.81999653119737, 144.95972671750346)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82337609495653, 144.9798517032086)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81056708776496, 144.96772094101254)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Station Street Park,"(-37.79735923804568, 144.97398629700336)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Powlett Reserve,"(-37.81108547106561, 144.986823716213)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.78297956185507, 144.9418702885437)"
